"no_emp","birth_date","first_name","last_name","gender","hire_date","job_title"
13974,"1959-03-15","Youjian","Perin","M","1998-03-18","Staff"
14025,"1964-08-03","Stevo","Takanami","F","1998-01-30","Staff"
14084,"1954-04-25","Deniz","Halloran","M","1998-03-02","Engineer"
14109,"1954-08-28","Vesna","Haldar","M","1999-01-08","Senior Engineer"
14140,"1955-12-23","Kiam","Ramamoorthy","M","1998-03-21","Senior Staff"
14170,"1960-07-19","Houman","Kropf","F","1998-03-18","Staff"
14176,"1964-05-28","Seshu","Thiran","M","1998-01-10","Staff"
14214,"1955-10-03","True","Swen","M","1998-12-19","Assistant Engineer"
14216,"1957-09-04","Vitali","Worfolk","F","1998-03-11","Engineer"
14308,"1961-12-16","Geoffrey","Zizka","M","1998-02-03","Assistant Engineer"
14326,"1955-09-07","Iara","Speckmann","F","1998-02-14","Senior Engineer"
14386,"1956-10-11","Willard","Foong","F","1998-06-02","Engineer"
14420,"1959-12-31","Aiman","Panangaden","F","1999-07-12","Senior Engineer"
14452,"1961-11-14","Akeel","Wallrath","M","1998-08-29","Senior Staff"
14564,"1953-11-15","Tadahiro","Christ","F","1998-12-04","Staff"
14576,"1962-04-29","Wayne","Pelc","M","1998-02-14","Engineer"
14657,"1957-07-09","Saddek","Casperson","M","1998-01-26","Staff"
14715,"1960-07-07","Chuanyi","Knightly","F","1998-05-22","Staff"
14737,"1961-07-17","Houman","Impagliazzo","M","1998-01-11","Staff"
14758,"1957-07-12","Adin","Bolsens","M","1998-04-06","Staff"
14772,"1959-12-16","Sachin","Bugrara","F","1998-08-26","Technique Leader"
14832,"1956-02-29","Torsten","Siprelle","F","1998-06-23","Staff"
14901,"1959-02-20","Paloma","Basawa","M","1999-02-05","Senior Engineer"
14916,"1957-05-25","Fumino","Narlikar","M","1999-04-01","Staff"
15007,"1956-02-27","Visit","Sridhar","M","1998-03-15","Staff"
15124,"1955-05-06","Adhemar","Percebois","M","1999-02-20","Senior Staff"
15169,"1955-10-31","Sanjoy","Matteis","M","1999-05-25","Technique Leader"
15200,"1953-11-04","Danco","Brickell","F","1998-01-29","Engineer"
15308,"1955-11-14","Jackson","Schaft","F","1998-09-12","Engineer"
15368,"1963-07-18","Seongbin","Lortz","F","1999-04-01","Assistant Engineer"
15426,"1960-07-24","Juichirou","Biran","M","1999-09-30","Technique Leader"
15436,"1964-03-13","Kwangsub","Negoita","F","1998-01-24","Senior Staff"
15439,"1952-11-24","Shuzo","Gide","M","1998-05-04","Engineer"
15450,"1958-08-27","Ugo","Salverda","M","1999-06-14","Engineer"
15572,"1960-06-15","Sven","Nannarelli","F","1998-03-08","Staff"
15596,"1961-11-22","Bedir","Baba","M","1999-01-09","Staff"
15713,"1963-08-09","Yefim","Clouatre","F","1998-12-06","Engineer"
15929,"1958-04-29","Mingdong","Baak","M","1999-01-30","Staff"
15963,"1963-07-15","LiMin","Lunt","M","1998-01-29","Senior Staff"
15972,"1958-02-18","Tadanori","Staudhammer","M","1999-04-10","Assistant Engineer"
15986,"1958-06-05","Valdiodio","Neimat","M","1998-07-10","Staff"
16114,"1961-04-29","Randy","Albarhamtoshy","M","1998-04-25","Senior Engineer"
16156,"1954-09-08","Fei","Kaminger","M","1998-10-09","Staff"
16166,"1955-09-19","Eberhardt","Chandrasekhar","M","1999-03-04","Staff"
16244,"1961-09-16","Parviz","Strandh","F","1999-02-22","Engineer"
16259,"1958-12-20","Lidong","Wolniewicz","F","1998-10-08","Staff"
16308,"1957-02-12","Yannis","Waterhouse","F","1999-05-08","Staff"
16564,"1957-01-11","Xiaopeng","Rusterholz","M","1998-06-19","Staff"
16623,"1956-12-09","Stepehn","Boudaillier","F","1998-05-05","Staff"
16665,"1959-01-04","Zhilian","Zumaque","M","1999-03-04","Staff"
16692,"1952-05-06","Maria","Perelgut","M","1998-05-19","Engineer"
16772,"1952-09-08","Baruch","Giveon","F","1999-10-27","Senior Staff"
16816,"1962-08-26","Mabo","Basawa","M","1998-06-20","Assistant Engineer"
16855,"1962-10-05","Sashi","Berztiss","M","1998-08-24","Staff"
16938,"1954-01-20","Shmuel","Shigei","F","1998-08-21","Engineer"
16960,"1962-05-30","Paddy","Ratnaker","M","1998-09-16","Senior Staff"
16981,"1956-05-10","Gino","Fontan","M","1998-10-20","Engineer"
17034,"1953-06-13","Heng","Rehfuss","F","1998-01-11","Engineer"
17077,"1961-11-20","Hironoby","Quittner","F","1998-05-25","Staff"
17116,"1961-02-03","Denis","Mullainathan","F","1998-12-23","Senior Engineer"
17229,"1959-02-22","Kenroku","Gulla","F","1998-04-24","Staff"
17231,"1961-07-22","Wilmer","Yurek","M","1998-07-25","Senior Engineer"
17501,"1960-04-02","Srinidhi","Winter","F","1998-04-18","Engineer"
17551,"1954-02-21","Mark","Foote","F","1998-10-04","Engineer"
17630,"1959-11-25","Reinhard","Biros","M","1998-04-22","Engineer"
17706,"1961-04-11","Candido","Pauthner","F","1999-04-01","Senior Staff"
17721,"1961-10-03","Chiranjit","Hertweck","F","1998-10-20","Senior Staff"
17740,"1959-06-07","Valeska","Klyachko","M","1998-02-18","Technique Leader"
17789,"1956-03-16","Snehasis","Gilg","F","1999-11-14","Senior Engineer"
17839,"1963-01-21","Chuanyi","Yoshimura","M","1999-03-11","Engineer"
17882,"1955-04-04","Arne","Passafiume","M","1998-01-04","Staff"
17883,"1959-09-24","Huan","Thebaut","F","1998-01-29","Senior Engineer"
17963,"1953-09-08","Danil","Gecsel","M","1998-05-16","Senior Staff"
18000,"1955-04-19","Tzvetan","Rajcani","M","1999-05-03","Staff"
18012,"1959-04-06","Reuven","Iacovou","M","1998-02-23","Staff"
18087,"1958-10-11","Sasan","Viele","M","1998-07-07","Engineer"
18107,"1964-03-29","Augustine","Mondadori","F","1998-04-19","Senior Engineer"
18169,"1954-09-21","Nathalie","Radwan","M","1998-03-04","Senior Staff"
18235,"1962-12-30","Elvia","Melter","M","1999-06-16","Staff"
18270,"1958-05-18","Guther","Siepmann","M","1998-07-18","Staff"
18279,"1960-08-30","Tianruo","Pena","F","1999-01-26","Staff"
18293,"1959-05-04","Atilio","Panwar","F","1998-02-21","Engineer"
18355,"1963-09-30","Zeydy","Garrabrants","F","1998-01-21","Staff"
18510,"1963-03-19","Laurentiu","Birke","F","1998-04-20","Staff"
18518,"1956-04-09","Keung","Gischer","M","1998-10-31","Engineer"
18568,"1954-09-15","Poornachandra","Waschkowski","M","1998-08-01","Staff"
18586,"1954-10-16","Herbert","Perly","F","1999-02-08","Staff"
18707,"1959-04-14","Uta","Luca","M","1999-06-05","Staff"
18720,"1958-01-10","Itzchak","Cooke","F","1998-04-10","Staff"
18754,"1960-07-30","Sumant","Schade","M","1998-07-12","Technique Leader"
18781,"1956-02-13","Kenton","Lorys","M","1999-03-07","Technique Leader"
18819,"1959-07-27","Boalin","Swiler","M","1998-09-16","Staff"
18841,"1961-01-21","Kwok","Baezner","M","1998-06-07","Staff"
18844,"1957-05-23","Anneli","Seuren","M","1999-01-26","Engineer"
19039,"1961-01-04","Owen","Frijda","M","1998-03-22","Engineer"
19056,"1955-09-27","Leaf","Nishimukai","M","1999-07-29","Engineer"
19063,"1958-11-03","Shaz","Suermann","F","1999-08-16","Senior Staff"
19074,"1964-11-10","Mrinalini","Pargaonkar","M","1998-02-12","Assistant Engineer"
19090,"1959-08-29","Zijian","Peot","M","1998-11-14","Engineer"
19116,"1955-10-27","Xuedong","Cherinka","M","1998-01-08","Engineer"
19152,"1964-03-08","Xudong","McAffer","F","1998-08-09","Staff"
19283,"1961-05-01","Breannda","Erol","F","1999-02-24","Engineer"
19289,"1954-06-11","Guther","Waymire","F","1998-11-12","Senior Engineer"
19405,"1963-02-01","Shiv","Alblas","M","1998-08-14","Staff"
19423,"1957-02-25","Yongmao","Remmers","F","1998-06-14","Senior Engineer"
19459,"1955-01-19","Sadun","Kawashimo","M","1999-08-18","Staff"
19477,"1963-09-28","Persi","Tramer","F","1998-01-24","Staff"
19714,"1964-11-30","Qiwen","Dulli","M","1998-05-29","Engineer"
19799,"1959-07-11","Arno","Lueh","F","1998-03-03","Engineer"
19810,"1954-03-28","Tesuro","Pellegrinelli","F","1998-07-12","Staff"
19854,"1955-06-07","Youssef","Orsini","F","1999-08-28","Engineer"
19908,"1956-10-10","Theron","Koshino","M","1998-08-22","Engineer"
20131,"1959-08-28","Gen","Rijckaert","F","1998-05-24","Staff"
20151,"1955-04-04","Yunming","Bednarek","M","1998-03-08","Engineer"
20322,"1952-05-21","Shmuel","Porotnikoff","F","1999-09-05","Senior Staff"
20409,"1958-12-07","Luise","Vesel","M","1998-07-30","Engineer"
20665,"1959-08-23","Uzi","Anandan","F","1998-02-13","Assistant Engineer"
20719,"1962-05-18","Thanasis","Monarch","F","1999-10-21","Staff"
20725,"1952-07-17","Yuichiro","Taubman","M","1999-06-04","Senior Engineer"
20764,"1962-12-05","Ibibia","Rosen","M","1998-06-28","Technique Leader"
20792,"1964-05-21","Kazunori","Trumbly","F","1998-04-16","Staff"
20819,"1955-12-28","Mary","Ritcey","M","1998-07-06","Staff"
20945,"1955-12-22","Mark","Marsiglia","F","1998-07-03","Engineer"
21071,"1963-07-02","Premsyl","Sessa","F","1998-06-16","Engineer"
21125,"1957-10-24","Lucian","Asrin","M","1998-08-13","Staff"
21179,"1956-11-13","Gaurav","Strehl","F","1998-01-12","Assistant Engineer"
21188,"1965-01-21","Piyush","Danecki","F","1998-04-02","Engineer"
21269,"1956-05-31","Sanjay","Olivero","M","1999-06-11","Engineer"
21355,"1954-08-24","Sadun","Ligten","F","1998-04-10","Technique Leader"
21429,"1962-03-15","Goh","Gils","F","1998-11-05","Engineer"
21440,"1958-06-03","Lene","Rindone","M","1998-12-15","Staff"
21455,"1958-05-06","Tayeb","Peral","M","1998-07-24","Senior Staff"
21572,"1957-04-02","Shuzo","Heusch","M","1998-12-06","Engineer"
21574,"1952-10-08","Vincent","Rosiles","F","1998-08-31","Staff"
21759,"1957-08-10","Zhaofang","Rossi","M","1998-01-29","Senior Engineer"
21778,"1964-12-01","Arup","Melton","M","1999-08-24","Staff"
22006,"1958-02-21","Ortrun","Ladret","M","1998-08-08","Engineer"
22016,"1957-04-05","Divine","Feldhoffer","M","1998-03-18","Staff"
22063,"1952-06-24","Van","Kusalik","M","1998-01-07","Assistant Engineer"
22094,"1956-06-18","Hirochika","Terwilliger","M","1998-08-01","Staff"
22098,"1963-04-19","Shounak","Tetzlaff","M","1998-03-14","Senior Engineer"
22105,"1964-12-10","Leah","Aamodt","M","1998-08-07","Senior Engineer"
22106,"1952-09-30","Uriel","Halevi","M","1999-01-28","Engineer"
22138,"1953-11-28","Gaurav","Anandan","M","1999-06-02","Engineer"
22153,"1952-03-25","Amalendu","Badache","M","1998-01-30","Staff"
22171,"1952-06-01","Jaideep","Crooks","M","1998-11-29","Staff"
22349,"1959-09-23","Adamantios","Tasistro","F","1998-12-16","Engineer"
22378,"1952-04-02","Tooru","Shumilov","M","1999-06-03","Staff"
22513,"1958-01-19","Hilari","Spinelli","M","1998-08-28","Staff"
22517,"1960-02-12","Doohun","Peek","M","1998-05-23","Senior Engineer"
22679,"1955-04-17","Christophe","Ramaiah","M","1999-01-13","Engineer"
22689,"1952-05-26","Salvador","Maginnis","F","1998-01-30","Engineer"
22690,"1958-04-05","Kristinn","Erol","F","1998-06-24","Engineer"
22694,"1964-02-27","Shuky","Nastansky","F","1998-10-27","Senior Engineer"
22762,"1958-05-08","Masali","Bazelow","F","1998-05-04","Staff"
22826,"1961-09-09","Ferdinand","Markovitch","F","1999-03-15","Engineer"
22836,"1960-06-16","Radhakrishnan","Krzyzanowski","M","1998-04-19","Senior Engineer"
22842,"1959-04-06","Radoslaw","Malabarba","F","1998-02-11","Assistant Engineer"
22856,"1952-11-10","Djenana","Beutelspacher","F","1998-05-17","Engineer"
22869,"1957-12-01","Kish","Angelov","M","1998-08-26","Senior Staff"
22979,"1964-03-24","Subbu","Krohn","F","1999-08-08","Engineer"
23115,"1964-08-18","Dmitry","Tempesti","F","1999-04-06","Engineer"
23274,"1952-04-27","Ferdinand","Zucker","M","1998-02-03","Technique Leader"
23293,"1958-11-13","Yagil","Rassart","M","1998-05-12","Staff"
23456,"1962-01-15","Sanjai","Feldhoffer","M","1998-04-12","Senior Engineer"
23459,"1956-10-16","Gretta","Varker","M","1998-11-23","Senior Staff"
23464,"1961-01-10","Tomokazu","Baranowski","M","1998-01-13","Staff"
23488,"1964-02-16","Raimond","Birsak","F","1998-08-02","Engineer"
23541,"1959-06-01","Marek","Kermarrec","F","1998-04-30","Engineer"
23563,"1954-10-03","Muzhong","Bale","M","1998-07-06","Senior Engineer"
23627,"1953-04-27","Uwe","Hatcliff","F","1998-01-25","Senior Staff"
23635,"1958-08-27","Chrisa","Bodoff","F","1998-02-09","Staff"
23647,"1956-02-21","Mads","Bellone","F","1998-01-10","Senior Engineer"
23725,"1952-12-05","Zita","Gaughan","F","1998-07-22","Staff"
23727,"1955-01-30","Kerryn","Bressoud","F","1998-07-29","Senior Engineer"
23786,"1953-02-14","Cullen","Zastre","F","1998-06-16","Staff"
23789,"1964-03-11","Lein","Basagni","F","1999-02-12","Senior Staff"
23959,"1961-06-09","Quingbo","Baumann","F","1999-01-20","Staff"
23983,"1957-06-04","Temple","Polajnar","M","1999-09-28","Technique Leader"
24013,"1961-12-03","Aris","Mattern","M","1998-03-23","Assistant Engineer"
24035,"1959-12-09","Utpal","Perfilyeva","M","1998-03-31","Engineer"
24104,"1964-11-16","Chaosheng","Sankaranarayanan","M","1999-04-15","Technique Leader"
24105,"1952-10-10","Salvador","Munoz","M","1998-01-08","Engineer"
24157,"1964-05-07","Pintsang","Zobel","M","1998-02-23","Staff"
24273,"1961-10-25","Qingxiang","Albarhamtoshy","F","1998-03-07","Engineer"
24320,"1957-09-26","Quingbo","Azulay","M","1998-02-01","Assistant Engineer"
24404,"1960-04-21","Aamer","Tsukuda","M","1998-12-25","Engineer"
24512,"1960-10-31","Evgueni","Angot","F","1998-12-19","Engineer"
24528,"1962-10-24","True","Luan","M","1998-07-22","Engineer"
24530,"1953-05-28","Shen","Bhattacharjee","F","1999-01-07","Staff"
24538,"1960-10-20","Shan","Rajaraman","M","1998-07-04","Technique Leader"
24604,"1955-12-05","Miquel","Peck","F","1998-11-17","Engineer"
24629,"1953-08-20","Keiichiro","Pelz","M","1998-10-19","Staff"
24652,"1954-05-18","Keung","Haddadi","F","1998-04-14","Assistant Engineer"
24695,"1953-10-31","Conal","Michaels","F","1998-09-14","Technique Leader"
24763,"1955-01-17","Martijn","Bolsens","M","1998-02-22","Engineer"
24777,"1956-01-31","Uli","Asmuth","M","1998-06-04","Technique Leader"
24851,"1956-07-06","Joydip","Francisci","F","1999-06-25","Staff"
24867,"1952-05-09","Odysseas","Ouhyoung","F","1998-07-04","Engineer"
24871,"1952-04-13","Irene","Paludetto","F","1999-02-27","Staff"
24899,"1961-08-21","Xuejun","Snyers","M","1998-07-09","Engineer"
24950,"1956-07-10","Turgut","Kushnir","F","1998-09-13","Engineer"
25025,"1956-04-04","Prodip","Chepyzhov","M","1999-06-20","Engineer"
25098,"1964-06-08","Adel","Shiratori","M","1998-08-16","Staff"
25134,"1958-08-20","Marin","Melski","M","1998-06-17","Engineer"
25135,"1957-10-31","Eran","Frolund","F","1998-12-28","Engineer"
25165,"1952-12-13","Tayeb","Grabner","M","1998-03-18","Senior Staff"
25218,"1958-03-08","Weiru","Zastre","M","1998-05-20","Senior Engineer"
25294,"1963-07-18","Berna","Manders","M","1998-06-03","Staff"
25318,"1957-01-17","Dante","Christ","M","1999-01-27","Engineer"
25319,"1956-03-16","Gad","Nergos","F","1998-06-14","Staff"
25389,"1961-07-21","Sven","Dratva","M","1999-04-25","Senior Staff"
25567,"1958-03-21","Weiwu","Levasseur","M","1998-04-22","Assistant Engineer"
25583,"1954-09-15","Fun","Fandrianto","M","1998-01-15","Engineer"
25598,"1953-10-31","Masoud","Pappas","F","1999-01-25","Technique Leader"
25608,"1960-02-13","Vivian","Unni","M","1998-05-14","Senior Staff"
25611,"1955-07-19","Stafford","Benaini","M","1998-06-21","Engineer"
25612,"1962-01-20","Tomofumi","Mawatari","F","1998-02-19","Staff"
25689,"1952-10-12","Khoa","Soloway","M","1998-10-29","Staff"
25854,"1953-08-04","Ebru","Tsunoo","M","1998-03-27","Senior Staff"
26013,"1952-08-13","Martijn","Malabarba","M","1999-06-16","Engineer"
26104,"1954-11-29","Khedija","Pileggi","F","1998-10-07","Engineer"
26208,"1955-11-05","Clyde","Wallrath","M","1998-05-16","Staff"
26219,"1956-06-16","Bernd","Kavraki","M","1998-10-04","Engineer"
26298,"1960-09-15","Nevin","Muhling","M","1998-09-05","Staff"
26340,"1952-03-21","Pradeep","Bahl","M","1998-03-30","Senior Engineer"
26353,"1955-05-03","Avishai","Alameldin","F","1999-01-07","Engineer"
26390,"1956-09-15","Radhia","Dulin","M","1998-02-20","Staff"
26466,"1964-07-03","Giri","Koblick","M","1999-03-01","Staff"
26525,"1959-09-05","Siamak","Morris","M","1999-03-01","Staff"
26638,"1953-02-04","Basem","Hutton","M","1998-07-03","Senior Engineer"
26659,"1960-05-20","Luigi","Duclos","M","1998-12-02","Engineer"
26754,"1952-07-27","Lucien","Kowalchuk","M","1999-01-19","Assistant Engineer"
26827,"1952-06-16","Elvia","Roisin","M","1998-06-08","Engineer"
26914,"1953-12-07","Xuejun","Ramsay","M","1998-05-21","Staff"
26998,"1963-12-28","Arif","Meriste","F","1998-11-26","Engineer"
27058,"1964-03-01","Bangqing","Olano","F","1998-02-03","Senior Engineer"
27078,"1961-03-30","Demos","Matzen","F","1999-04-27","Senior Staff"
27132,"1963-06-26","Hsiangchu","Chimia","M","1999-08-27","Staff"
27140,"1957-03-04","Koichi","Zolotykh","M","1998-06-05","Senior Engineer"
27378,"1965-01-28","Piyawadee","Leppanen","M","1999-02-25","Senior Staff"
27407,"1960-11-27","Lijia","Danecki","M","1999-06-18","Engineer"
27715,"1953-03-11","Khoa","Adachi","F","1998-03-20","Staff"
27725,"1952-12-01","DAIDA","Pavlopoulou","M","1998-11-11","Staff"
27850,"1954-12-01","Radoslaw","Perz","F","1998-09-26","Staff"
27872,"1962-12-13","Qunsheng","Prampolini","F","1998-04-06","Staff"
27879,"1961-03-10","Feiyu","Kusakabe","M","1998-08-13","Senior Engineer"
27922,"1961-05-25","Chrisa","Straney","F","1998-11-03","Staff"
27934,"1963-03-16","Berto","Bresenham","F","1998-11-01","Senior Engineer"
28031,"1962-06-11","Uma","Camurati","M","1998-08-19","Engineer"
28033,"1953-01-08","Lokesh","Schurmann","F","1998-11-27","Engineer"
28038,"1956-11-27","Subhankar","Katzenelson","F","1999-09-18","Senior Engineer"
28083,"1958-09-13","Dhritiman","Keohane","F","1998-02-24","Senior Staff"
28106,"1962-08-05","Tomoyuki","Garigliano","M","1998-04-03","Engineer"
28151,"1956-06-11","Reuven","Keirsey","M","1998-10-12","Staff"
28435,"1958-09-28","Jiong","Rosenbaum","M","1998-09-17","Staff"
28450,"1952-08-12","Howell","Genin","M","1998-06-05","Senior Staff"
28455,"1952-02-20","Isaac","Anguita","M","1999-06-14","Engineer"
28496,"1957-12-02","Xudong","Mellouli","F","1998-11-14","Engineer"
28498,"1952-12-21","Khun","Rosaz","F","1998-04-27","Staff"
28499,"1960-02-12","Irena","Brodie","F","1998-07-25","Senior Staff"
28500,"1954-04-28","Fumiko","Zwicker","M","1999-11-23","Staff"
28531,"1963-05-24","Geoffry","Milicic","F","1998-05-20","Staff"
28561,"1952-02-23","Basem","Speek","M","1998-12-03","Staff"
28580,"1953-08-18","Yannis","Heyers","F","1999-09-28","Staff"
28585,"1958-03-28","Youngkon","Doering","M","1999-07-18","Senior Staff"
28614,"1954-04-21","Sarita","Lorys","M","1998-12-28","Technique Leader"
28638,"1962-04-26","Sreekrishna","Gaughan","M","1998-09-23","Staff"
28670,"1960-12-19","Kankanahalli","Teitelbaum","M","1999-09-25","Staff"
28736,"1956-08-09","Goa","Linnainmaa","M","1998-06-24","Staff"
28926,"1962-08-19","Nikolaos","Keustermans","F","1998-08-01","Engineer"
28951,"1956-03-19","Dines","Montresor","M","1998-01-02","Engineer"
28961,"1963-04-25","Alois","Panienski","F","1998-10-12","Engineer"
28988,"1965-01-18","Tua","Giveon","M","1998-09-09","Technique Leader"
29007,"1963-02-25","Mihalis","Sinicrope","M","1999-03-04","Technique Leader"
29075,"1958-08-02","Weiru","Compeau","F","1999-03-08","Technique Leader"
29145,"1959-09-18","Heeju","Doering","F","1998-05-19","Staff"
29205,"1953-10-03","Lubomir","Kroft","F","1998-10-19","Assistant Engineer"
29212,"1961-03-04","Magy","Denis","M","1999-06-05","Engineer"
29290,"1963-02-19","Alejandro","Henseler","F","1998-06-25","Senior Engineer"
29375,"1964-07-16","Mohammed","Cmelik","M","1998-04-15","Staff"
29380,"1965-01-30","Satoru","Vidal","F","1998-03-13","Assistant Engineer"
29452,"1960-10-15","Ewing","Nourani","M","1999-01-01","Engineer"
29462,"1956-02-12","Eldridge","Pezzoli","F","1998-04-29","Senior Staff"
29473,"1964-08-18","Lansing","Falby","M","1998-01-30","Staff"
29474,"1961-05-13","Tsvetan","Ghemri","F","1998-03-01","Staff"
29534,"1954-06-29","Tran","Petersohn","F","1998-10-21","Engineer"
29613,"1962-09-16","Gudjon","Zhang","M","1998-12-19","Engineer"
29641,"1960-03-01","Sivanarayana","Boissier","F","1998-08-06","Engineer"
29691,"1963-03-04","Guadalupe","Gargeya","F","1998-07-08","Senior Engineer"
29723,"1954-05-28","Guiseppe","Radhakrishnan","F","1999-11-10","Engineer"
29803,"1953-05-16","Steen","Comte","M","1998-01-25","Engineer"
29914,"1957-12-14","Tsutomu","Muntz","F","1998-10-28","Engineer"
29968,"1957-11-28","Tru","Lodder","M","1998-11-21","Staff"
30002,"1960-08-23","Branimir","Snedden","M","1998-09-24","Engineer"
30006,"1961-10-10","Alper","Katiyar","M","1998-03-17","Engineer"
30049,"1959-01-17","Along","Copas","M","1998-01-21","Staff"
30120,"1952-03-18","Francoise","Ghelli","M","1998-01-18","Engineer"
30243,"1958-11-15","Ewing","Crouzet","F","1998-05-07","Technique Leader"
30291,"1959-12-17","Alejandro","Stille","M","1999-07-18","Technique Leader"
30414,"1961-02-16","Zvonko","Karnin","F","1998-06-02","Staff"
30456,"1960-10-09","Gladys","Foote","M","1998-02-03","Staff"
